;movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;AbsoluteScoreIncrease;RelativeScoreIncrease
145931;midnight-run;9;YorkMan;/user/YorkMan;Jul  1, 2016;"[ ""In 1988 the idea of multi Academy Award winning actor Robert De Niro starring in an R-rated comedy must have seemed like a step too far outside even his comfort zone. But, ol' Bobby pulls it off and not only creates one of his most memorable characters, he also is incredibly funny!"", """", ""De Niro plays Jack Walsh, an ex-New York undercover narcotics officer who now works as a Bounty Hunter. His boss, Eddie Moscone (Joe Pantoliano) offers him $100,000 to bring in Jonathan \""The Duke\"" Mardukas (Charles Grodin) an accountant for the Mob who embezzled several million and was picked up on a minor charge and subsequently bailed."", ""Walsh agrees and quickly tracks The Duke down to L.A. Walsh hopes he can just board a plane with him and head back, but The Duke has other ideas!"", ""Things are (hilariously) complicated by the fact that both the Mob and the FBI also want The Duke, plus Moscone sending out another (rather inept) bounty hunter to get The Duke when Walsh's initial plans fail."", """", ""What follows is essentially a comedic road trip with car chases, gunfights, helicopters etc, all interspersed with masses of profanity and real belly laughs. Every character (and thus actor) works hard for those laughs, and whilst not every joke 'hits', the hit/miss ratio is still incredibly high."", """", ""As the cross-country escapade keeps on escalating, Walsh and The Duke develop a deep understanding and friendship, and leads to a schmaltzy ending that is definitely earnt."", """", ""The film is only let down by some unnecessary over-sentimentality, but it's more of a niggle than a real 'this is an aspect of the film I can't deal with'."" ]";1.0;1.0;1.0;0.0;8;9.0
136297;house-party;8;YorkMan;/user/YorkMan;May 10, 2016;"[ ""There are certain movies made that capture their 'moment in time', and House Party is most definitely one of them."", ""1990 saw the explosion of rap/hip hop, as it moved out of the shadows and into the real mainstream."", ""Within this were two very different stylistic approaches."", ""For the 'dark side', there were the 'Gangsta' rap groups and artists, labelling themselves and pimps, gunrunners and murderers, extolling the virtues of money, sex and power.... The whole essence of 'Juice'."", ""For the 'light side' there were the more radio-friendly acts who were (generally) younger, spitting lyrics about high school, dating, borrowing their dad's 'ride', and the more down to Earth realities that appealed across various demographics."", """", ""One such 'light side' act was Kid 'N Play (Christopher 'Play' Martin, and Christopher 'Kid' Reid'. As with any act that developed into one which obtained a 'proper' record contract, they were marketed as somewhat 'unreal' characters, within a defined 'real' world. Kid was the more naive, childish and imaginative one, Play was the more direct, aggressive, but still approachable one...."", """", ""Their popularity through the period of 1988/1989 convinced New Line Cinema to invest in a low budget movie in which their 'characters' are involved in the titular House Party."", """", ""The story is simple enough..... Play's parents are away for the weekend, so he decides to have a party at his house. Kid, having got into an altercation at school is grounded by his 'Pops', played brilliantly by the late, great Robin Harris, and therefore has to sneak out to attend."", ""The DJ of the party is 'Dragon Breath' Bilal (so called because his breath reeks... A long running joke in the film) who reluctantly brings along his decks, vinyl and microphones."", ""The female interests of the film are the gorgeous Sharane (A.J. Johnson), who lives with her huge family in the projects... And the more demure, philosophical Sydney (Tisha Campbell), who's a rich kid that feels out of place."", ""Rounding off the main cast are the film's antagonists... 'light side' rap group Full Force members \""Paul Anthony\"" George as 'Stab'.... Lucien \""Bowlegged Lou\"" George, Jr as Pee Wee.... And Brian 'B-Fine\"" George as Zilla... A gang of three misfits, whose leader (Stab) has a personal hatred of Kid."", """", ""All the principles join the party, Kid and Play both make a bee-line for the more attractive (and slutty) Sharane, much to the disappointment of Sydney who has a crush on Kid. Stab, Zilla and Pee Wee attempt to gate crash, but are foiled. The neighbours call the police, over the noise. And one of the party-goers gets hideously drunk and needs to be escorted home."", ""All the while 'Pops' is walking over... Dealing with bigoted police along the way (in his own inimitable style)."", """", ""Things come to head when Kid (after dropping off the drunk guy) is separated from the group, and has a run in with Stab, Pee Wee and Zilla. All four are arrested and, after 'Pops' realises he won't catch Kid at the party and decides to wait for him to come home, the 'gang' have to bail Kid out of Jail."", """", ""In the end, after Kid connects with Sydney, and Play gets (amusingly) rebuffed by Sharane, Bilal drops Kid off at home and demands that Play pays for a meal at a Sizzler (or similar!!). Bilal and Play drive off, leaving Kid to climb in through his bedroom window........ Only to find his 'Pops' there waiting for him, grasping a leather belt.... 'Pops' announces that Kid shouldn't get too comfortable, because he's in a lot of trouble!!!"", """", ""The film is directed by Reginald D. Hudlin, and features some utterly brilliant music of the time. Performances are great, all across the book, and the pace of the film is also incredibly tight. There aren't any lulls in the 102 minute run-time."", """", ""The only real negatives, in a retrospective way, are the clear avoidances of anything related to 'gangs' and 'drugs'. All the 'youths' in the film are beautiful and clean-cut, no one looks poor or unhappy!"", ""So, from a looking back ideal, you could argue the movie is not representative of the actual times in which it was filmed.... But to do so does miss the whole point."", """", ""House Party is a feel-good movie of the highest order. Brilliant soundtrack coupled with fine acting and direction."", ""I would heartily recommend it, and advise anyone to watch the end credits to get the names of the songs/artists on the soundtrack!"" ]";0.0;0.0;0.0;0.0;7;8.0
139326;showgirls;8;YorkMan;/user/YorkMan;Jan  6, 2016;"[ ""Paul Verhoeven is one of the most 'out there' directors of his generation. In a career spanning multiple genres, when you see his name attached you just know it will be a film that will cause discussion."", ""Showgirls is definitely a film that, in the 20 years since its release, has resulted in some fairly heated discussions!"", ""The genre of the film is hard to define, but it's clearly a much deeper and thought provoking movie than what the contemporary critics would have us all believe. The sheer amount of female flesh on-screen, coupled with some hilarious dialogue and, most strikingly, Elizabeth Berkeley's incredibly 'all or nothing' performance, lead everyone to overlook what the actual moral of the film's story is."", ""It's clearly not something designed to be the height of intellectual film-making, but there is a scope to the narrative that the visuals are meant to override. To me, that's genius. Verhoeven subverting the audiences perceptions, making you leave the cinema wondering if the film is just a vacuous skinflick, or a moral tragedy that just happens to have a lot of exposed breasts on show, as well as the most hilarious sex scenes ever filmed!"", ""To me, it's not a surprise the film has been reevaluated in more recent times, and has become a staple for film-making students to review and analyse."", ""In the grand scheme, it's not an amazing movie. But from the perspective of someone (everyone) trying to understand what Paul Verhoeven was trying to achieve and express.... It's absolute genius movie-making!"" ]";0.0;0.0;0.0;0.0;7;8.0
145912;they-live;8;YorkMan;/user/YorkMan;Apr 26, 2016;"[ ""John Carpenter's modern masterpiece is an action/horror/comedy film wrapped up inside a narrative of Capitalism, greed, destruction, friendship and the struggle of the have-nots in a world of rampant consumerism and overt aspirational advertising."", ""Oh,and there are aliens..... Never a bad thing in a big(gish) budget B-Movie, in fact in a lot of ways it's more of a B-Movie parody!"", ""It's not a perfect film by any means. Carpenter's direction can get very distracting, the soundtrack is a 'love it or hate it' mash up of electronica and thumping basslines, the acting varies wildly in quality, and the pacing lurches from slow, to fast, then back to slow."", """", ""However, for all its flaws, it IS a fantastic movie. Criminally slated back in 1988, it's now a definitive 80's cult classic, watched as a rite of passage by teenagers everywhere!"", """", ""If you're someone who missed it as a teenager, then find a copy and settle in for some serious fun and action."" ]";1.0;1.0;1.0;0.0;7;8.0
1245;baby-driver;10;TVJerry;/user/TVJerry;Jun 29, 2017;"[ ""In his first major film role (\""The Fault in Our Stars\""), I described Ansel Elgort as \""cute, charismatic and charming.\"" Now, you can cool action star to that list. He plays a getaway driver extraordinaire, who listens to music while he performs amazing getaways and impressive stunts. The crooks he works with (including Kevin Spacey, Jamie Foxx & Jon Hamm) add all sorts of conflicts. Then there's his love at first site (a lovely and charming Lily James). While the crooks gets to chew on the scenery, it's Elgort's sweet style that holds it all together. What really makes the movie such a winner is Edgar White, who's written a sharp, engrossing vehicle (pun intended) and infused it with outstanding stunts, clever directorial touches and a killer soundtrack. It's popcorn fun from the impressive opening chase to appropriate ending. The most fun of the summer, so far."" ]";2.0;6.0;2.0;4.0;7;3.3333333333333335
4271;patriots-day;10;TVJerry;/user/TVJerry;Jan 24, 2017;"[ ""Mark Wahlberg plays a police officer involved in the search to find the terrorists behind the Boston Marathon bombing. This is one of several POVs in this gripping drama: It also explores stories of several survivors, the law enforcement procedures behind the pursuit and even the activities of the criminals. Director Peter Berg depicts the horrific event with electrifying skill and maintains the tension throughout the search, which includes several potent action sequences. The continual drone in the soundtrack by Trent Reznor & Atticus Ross helps keep the pressure up. The cast is uniformly outstanding with Wahlberg exploring new emotional depths in his best screen performance yet. Not only is this a riveting, suspenseful police procedural, it takes an empowering patriotic stance that ultimately yields a moving final message."" ]";0.0;2.0;0.0;2.0;7;3.3333333333333335
27792;blue-ruin;10;TVJerry;/user/TVJerry;May  3, 2014;"[ ""A seemingly homeless man (Arlington native Macon Blair in a touching, nuanced performance) sets out for a revenge that grows out of control. Comparisons to early Coen Brothers are inevitable: a sly objective point of view, careful pacing, interesting observations, understated emotion and abrupt violence. Jeremy Saulnier (also an Arlington native), who wrote/directed/shot shows a mature mastery of style and cinematic confidence that augers well for his future (especially after the mess that was \""Murder Party\""). Every frame of this compelling film is quietly gripping and intelligent fun."" ]";1.0;2.0;1.0;1.0;7;3.3333333333333335
32524;the-wolf-of-wall-street;10;TVJerry;/user/TVJerry;Dec 31, 2013;"[ ""Martin Scorsese is a master filmmaker and when he gets it right, it's a cinematic treat. Leonardo DiCaprio plays Jordan Belfort, a man who made a lot of money hustling illegal financial deals. He worked hard and played full tilt: copious drugs, profuse sex and unlimited arrogance. This film is chocked full of greed, excess and amazing directorial touches (the hilarious quaalude scene is an instant classic). The cast of ferocious characters is crammed with memorable performances. At three hours, it never lags, but just keeps entertaining, amusing and exploding with energy. Scorsese at the top of his game."", ""(Look for the real Belfort to introduce the fictional Belfort in the last scene.)"" ]";4.0;8.0;4.0;4.0;7;3.3333333333333335
40027;django-unchained;10;TVJerry;/user/TVJerry;Dec 28, 2012;"[ ""With any filmmaker, there are ups and down. This one is definitely up! Christop Waltz (in another winning performance) plays a dentist-turned-bounty-hunter who strikes a deal with a slave (Jamie Foxx in the title role): help him find his bounty and he'll free Django and help him find his wife. They outsmart all the villains until they finally land at the plantation run by Leonardo DiCaprio. Despite the cruel depiction of slavery, this is Tarantino's funniest film yet (the head bag scene is a classic). The violence leans toward comic book broadness with more blood splatter than guts or cuts"" ]";6.0;8.0;6.0;2.0;7;3.3333333333333335
41258;les-miserables;10;TVJerry;/user/TVJerry;Dec 30, 2012;"[ ""If you're not a fan of the musical, keep in mind the title: most of these people are miserable, so expect drama and suffering. There is an occasional flash of spectacle, but the majority of the film's powerful songs are in close-ups, often one take. The intimate handheld camera adds to the intensity, but sometimes interferes when it's too jerky or causes shadows on faces. The actors run the gamut from revelatory (Anne Hathaway, Eddie Redmayne, Amanda Seyfried, Lucy Hale) to solid (Hugh Jackman, Sacha Baron Cohen, Helena Bonham Carter) to vocally weak (Russell Crowe). All of the singing is done live, so there's an intimate, expressive power that's distinctive. The narrative unfolds with intensity and grandeur, but this is basically opera, so it's more about emotion than logic or dialogue. Overall, this film is a glorious union of moving moments, beautiful music and powerful performances."" ]";1.0;2.0;1.0;1.0;7;3.3333333333333335
